2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.071,0.077,0.114,0.119,0.065,0.085,0.089,0.093,0.153,0.074
0.077,0.068,0.054,0.14,0.065,0.078,0.095,0.041,0.138,0.069
0.115,0.059,0.044,0.153,0.094,0.086,0.104,0.036,0.043,0.059
0.14,0.052,0.04,0.179,0.07,0.076,0.122,0.072,0.066,0.082
0.122,0.105,0.096,0.147,0.052,0.076,0.122,0.085,0.064,0.067
0.115,0.108,0.092,0.138,0.073,0.078,0.079,0.107,0.084,0.062
0.038,0.11,0.052,0.133,0.107,0.083,0.066,0.093,0.082,0.066
0.037,0.098,0.067,0.093,0.133,0.077,0.105,0.055,0.125,0.056
0.03,0.102,0.068,0.08,0.138,0.1,0.144,0.05,0.095,0.058
0.06,0.13,0.024,0.114,0.134,0.122,0.178,0.066,0.129,0.036
0.069,0.098,0.044,0.08,0.136,0.114,0.105,0.117,0.087,0.056
0.097,0.129,0.044,0.116,0.213,0.142,0.148,0.055,0.053,0.054
0.113,0.06,0.031,0.152,0.142,0.118,0.17,0.103,0.096,0.036
0.098,0.043,0.057,0.1,0.128,0.063,0.116,0.095,0.05,0.034
0.069,0.054,0.034,0.08,0.153,0.04,0.119,0.089,0.145,0.052
0.051,0.082,0.045,0.047,0.226,0.049,0.082,0.048,0.146,0.057
0.064,0.079,0.062,0.064,0.144,0.103,0.124,0.069,0.023,0.069
0.067,0.05,0.059,0.085,0.207,0.228,0.106,0.078,0.035,0.08
0.079,0.065,0.06,0.095,0.133,0.192,0.101,0.102,0.07,0.066
0.058,0.075,0.067,0.129,0.092,0.22,0.061,0.102,0.093,0.06
0.087,0.148,0.057,0.129,0.139,0.14,0.073,0.112,0.065,0.054
0.071,0.122,0.088,0.165,0.115,0.358,0.07,0.099,0.072,0.065
0.04,0.118,0.089,0.157,0.091,0.041,0.083,0.166,0.092,0.054
0.056,0.086,0.088,0.131,0.117,0.045,0.045,0.198,0.09,0.072
0.078,0.159,0.066,0.097,0.091,0.042,0.074,0.173,0.129,0.076
0.078,0.107,0.028,0.084,0.102,0.065,0.088,0.107,0.11,0.08
0.085,0.1,0.031,0.075,0.115,0.041,0.174,0.135,0.112,0.064
0.1,0.077,0.035,0.057,0.088,0.089,0.196,0.068,0.058,0.056
0.119,0.124,0.047,0.097,0.096,0.07,0.193,0.136,0.072,0.058
0.137,0.143,0.062,0.113,0.175,0.125,0.178,0.096,0.043,0.074
0.054,0.079,0.052,0.122,0.195,0.061,0.141,0.116,0.091,0.08
0.057,0.093,0.059,0.076,0.115,0.057,0.051,0.119,0.097,0.121
0.071,0.084,0.085,0.109,0.155,0.039,0.078,0.102,0.066,0.077
0.07,0.135,0.139,0.11,0.16,0.058,0.105,0.111,0.113,0.064
0.066,0.172,0.128,0.12,0.145,0.05,0.174,0.098,0.09,0.154
0.071,0.118,0.119,0.139,0.082,0.045,0.146,0.104,0.099,0.065
0.095,0.035,0.086,0.134,0.09,0.067,0.102,0.13,0.049,0.059
0.175,0.046,0.094,0.113,0.198,0.094,0.11,0.142,0.067,0.053
0.159,0.064,0.056,0.093,0.153,0.065,0.107,0.065,0.093,0.054
0.179,0.087,0.067,0.087,0.16,0.058,0.161,0.078,0.077,0.052
0.161,0.137,0.117,0.1,0.117,0.074,0.183,0.115,0.076,0.055
0.143,0.127,0.156,0.147,0.108,0.072,0.138,0.104,0.105,0.059
0.1,0.188,0.153,0.128,0.104,0.063,0.103,0.075,0.076,0.055
0.039,0.148,0.152,0.217,0.137,0.096,0.089,0.115,0.1,0.054
0.029,0.099,0.133,0.17,0.13,0.058,0.171,0.093,0.1,0.058
0.044,0.138,0.105,0.065,0.132,0.101,0.316,0.166,0.112,0.06
0.048,0.094,0.084,0.068,0.076,0.123,0.094,0.148,0.144,0.061
0.059,0.085,0.103,0.104,0.049,0.15,0.177,0.137,0.14,0.07
