2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.131,0.087,0.006,0.111,0.028,0.118,0.184,0.110,0.022,0.087
0.172,0.069,0.023,0.113,0.038,0.132,0.120,0.146,0.024,0.128
0.069,0.080,0.047,0.140,0.013,0.084,0.092,0.148,0.028,0.619
0.121,0.042,0.045,0.114,0.013,0.088,0.066,0.080,0.028,0.277
0.116,0.092,0.055,0.089,0.026,0.115,0.083,0.066,0.033,0.327
0.101,0.098,0.034,0.083,0.047,0.138,0.122,0.087,0.028,0.098
0.102,0.136,0.042,0.111,0.049,0.110,0.089,0.081,0.025,0.050
0.127,0.105,0.050,0.099,0.039,0.111,0.095,0.120,0.027,0.103
0.118,0.130,0.052,0.065,0.042,0.072,0.120,0.132,0.032,0.130
0.087,0.151,0.033,0.085,0.040,0.144,0.115,0.101,0.026,0.147
0.072,0.156,0.028,0.061,0.055,0.213,0.084,0.091,0.028,0.357
0.051,0.109,0.033,0.060,0.060,0.135,0.053,0.114,0.034,0.507
0.046,0.072,0.029,0.093,0.103,0.141,0.099,0.107,0.030,0.214
0.048,0.066,0.028,0.127,0.124,0.136,0.087,0.118,0.028,0.078
0.037,0.079,0.035,0.210,0.024,0.226,0.120,0.118,0.038,0.049
0.042,0.142,0.036,0.252,0.030,0.215,0.112,0.193,0.033,0.050
0.080,0.193,0.038,0.258,0.047,0.233,0.223,0.135,0.034,0.102
0.097,0.090,0.020,0.097,0.038,0.072,0.083,0.108,0.025,0.105
0.105,0.117,0.037,0.160,0.046,0.096,0.171,0.105,0.027,0.095
