2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.019,0.019,0.021,0.016,0.019,0.012,0.012,0.011,0.013,0.013
0.018,0.020,0.020,0.010,0.019,0.015,0.011,0.009,0.014,0.011
0.022,0.019,0.018,0.016,0.011,0.015,0.009,0.008,0.017,0.009
0.031,0.022,0.023,0.009,0.012,0.014,0.011,0.008,0.017,0.007
0.018,0.013,0.026,0.027,0.018,0.011,0.012,0.008,0.016,0.012
0.015,0.013,0.021,0.025,0.019,0.008,0.013,0.013,0.012,0.009
0.012,0.014,0.027,0.032,0.016,0.013,0.009,0.011,0.013,0.010
0.017,0.018,0.029,0.023,0.013,0.012,0.008,0.011,0.011,0.015
0.032,0.024,0.021,0.027,0.010,0.015,0.009,0.009,0.011,0.011
0.023,0.014,0.017,0.018,0.010,0.009,0.006,0.013,0.011,0.011
0.023,0.019,0.016,0.022,0.013,0.009,0.007,0.012,0.012,0.013
0.024,0.014,0.021,0.015,0.017,0.011,0.006,0.010,0.022,0.016
0.022,0.021,0.020,0.021,0.019,0.012,0.011,0.014,0.029,0.015
0.023,0.025,0.015,0.024,0.013,0.012,0.009,0.014,0.014,0.020
0.020,0.019,0.010,0.028,0.014,0.012,0.008,0.011,0.013,0.034
0.025,0.021,0.020,0.026,0.014,0.012,0.010,0.014,0.025,0.053
0.020,0.023,0.013,0.024,0.015,0.011,0.008,0.013,0.021,0.040
0.021,0.028,0.012,0.014,0.016,0.010,0.009,0.014,0.013,0.043
0.021,0.029,0.013,0.014,0.015,0.010,0.006,0.012,0.011,0.041
0.027,0.025,0.019,0.011,0.010,0.009,0.008,0.013,0.023,0.080
0.031,0.024,0.014,0.012,0.011,0.014,0.007,0.010,0.021,0.043
0.035,0.035,0.013,0.011,0.017,0.012,0.010,0.011,0.017,0.043
0.040,0.026,0.011,0.016,0.013,0.011,0.011,0.010,0.018,0.036
0.026,0.021,0.010,0.029,0.018,0.016,0.011,0.009,0.015,0.032
0.036,0.022,0.013,0.030,0.017,0.015,0.009,0.010,0.022,0.040
0.044,0.021,0.014,0.022,0.018,0.016,0.008,0.010,0.026,0.037
0.041,0.026,0.018,0.021,0.019,0.012,0.007,0.013,0.021,0.038
0.044,0.019,0.025,0.015,0.023,0.011,0.006,0.011,0.017,0.033
0.022,0.024,0.024,0.031,0.031,0.011,0.008,0.011,0.011,0.031
0.025,0.018,0.029,0.036,0.024,0.015,0.009,0.011,0.016,0.026
0.043,0.019,0.018,0.043,0.022,0.011,0.008,0.017,0.020,0.023
0.030,0.012,0.016,0.043,0.029,0.008,0.008,0.016,0.012,0.026
0.043,0.013,0.019,0.037,0.026,0.012,0.007,0.016,0.014,0.034
0.034,0.013,0.022,0.022,0.025,0.011,0.008,0.015,0.023,0.035
0.046,0.017,0.018,0.037,0.027,0.012,0.010,0.012,0.024,0.051
